연도,시군구,법정동코드,총 인구,고령자 수,고령자 비율 (%),시군구명
2023,전라북도 정읍시,5218000000,103620,31905,30.8,전라북도 정읍시
2023,전라북도 남원시,5219000000,76781,24126,31.4,전라북도 남원시
2023,전라북도 김제시,5221000000,81430,27950,34.3,전라북도 김제시
2023,전라북도 임실군,5275000000,25956,10357,39.9,전라북도 임실군
2023,전라북도 순창군,5277000000,26764,9779,36.5,전라북도 순창군
2024,서울특별시 종로구,1111000000,138336,29574,21.4,서울특별시 종로구
2024,서울특별시 중구,1114000000,120544,26408,21.9,서울특별시 중구
2024,서울특별시 용산구,1117000000,203854,38894,19.1,서울특별시 용산구
2024,서울특별시 성동구,1120000000,273669,51030,18.6,서울특별시 성동구
2024,서울특별시 광진구,1121500000,331963,59334,17.9,서울특별시 광진구
2024,서울특별시 동대문구,1123000000,338735,69314,20.5,서울특별시 동대문구
2024,서울특별시 중랑구,1126000000,379274,83299,22,서울특별시 중랑구
2024,서울특별시 성북구,1129000000,421560,83353,19.8,서울특별시 성북구
2024,서울특별시 강북구,1130500000,283597,71227,25.1,서울특별시 강북구
2024,서울특별시 도봉구,1132000000,303228,74149,24.5,서울특별시 도봉구
2024,서울특별시 노원구,1135000000,491247,100467,20.5,서울특별시 노원구
2024,서울특별시 은평구,1138000000,460919,97788,21.2,서울특별시 은평구
2024,서울특별시 서대문구,1141000000,302853,59685,19.7,서울특별시 서대문구
2024,서울특별시 마포구,1144000000,361417,59612,16.5,서울특별시 마포구
2024,서울특별시 양천구,1147000000,430976,80174,18.6,서울특별시 양천구
2024,서울특별시 강서구,1150000000,556171,107246,19.3,서울특별시 강서구
2024,서울특별시 구로구,1153000000,388169,82027,21.1,서울특별시 구로구
2024,서울특별시 금천구,1154500000,225159,47037,20.9,서울특별시 금천구
2024,서울특별시 영등포구,1156000000,373773,68568,18.3,서울특별시 영등포구
2024,서울특별시 동작구,1159000000,375799,72783,19.4,서울특별시 동작구
2024,서울특별시 관악구,1162000000,477812,88138,18.4,서울특별시 관악구
2024,서울특별시 서초구,1165000000,408376,68606,16.8,서울특별시 서초구
2024,서울특별시 강남구,1168000000,557345,91291,16.4,서울특별시 강남구
2024,서울특별시 송파구,1171000000,650110,113957,17.5,서울특별시 송파구
2024,서울특별시 강동구,1174000000,476942,89687,18.8,서울특별시 강동구
2024,부산광역시 중구,2611000000,37537,12167,32.4,부산광역시 중구
2024,부산광역시 서구,2614000000,103188,30420,29.5,부산광역시 서구
2024,부산광역시 동구,2617000000,85911,25661,29.9,부산광역시 동구
2024,부산광역시 영도구,2620000000,103737,34671,33.4,부산광역시 영도구
2024,부산광역시 부산진구,2623000000,359281,82839,23.1,부산광역시 부산진구
2024,부산광역시 동래구,2626000000,274370,60935,22.2,부산광역시 동래구
2024,부산광역시 남구,2629000000,254498,61542,24.2,부산광역시 남구
2024,부산광역시 북구,2632000000,267692,62708,23.4,부산광역시 북구
2024,부산광역시 해운대구,2635000000,376404,83543,22.2,부산광역시 해운대구
2024,부산광역시 사하구,2638000000,292491,72601,24.8,부산광역시 사하구
2024,부산광역시 금정구,2641000000,209932,56243,26.8,부산광역시 금정구
2024,부산광역시 강서구,2644000000,142789,21360,15,부산광역시 강서구
2024,부산광역시 연제구,2647000000,212589,48982,23,부산광역시 연제구
2024,부산광역시 수영구,2650000000,171918,44086,25.6,부산광역시 수영구
